backers,category,currency,description,goal,main_category,names,pledged,proj_details,status
10,food|drinks,$,A do it yourself boba tea kit that allows you to make delicious boba tea right from home!,3000,food,Boba Era: Boba From Home,401,"
					Backers: 10,
					Funding: $401 of $3,000 (,13% funded,),
					Campaign Dates: June 3rd -> August 2nd (2020),
					Closed: Sunday August 2nd, 2020,
				",Cancelled
1,fashion|apparel,$,Sophisticated Mexican old school style apparel.,16578,fashion,Mr Cochino Apparel,1,"
					Backers: 1,
					Funding: $1 of $16,578 (,0% funded,),
					Campaign Dates: June 26th -> August 2nd (2020),
					Closed: Sunday August 2nd, 2020,
				",Cancelled
1,fashion|apparel,,"RotenStein Clothing Co. Una nueva marca de ropa enfocada en el arte de cada prenda, que la convierta en algo único de vestir.",,fashion,RotenStein Clothing Co. (Arte en tu ropa),,"
					Backers: 1,
					Funding: MX$19 of MX$73,000 (,0% funded,),
					Campaign Dates: June 3rd -> August 2nd (2020),
					Closed: Sunday August 2nd, 2020,
				",Cancelled
1,games|video games,$,"Z-City, A Zombie based Survival-Battle Royale themed game for PC and/or Console.",5000,games,Z-City Survival-Battle Royale,1,"
					Backers: 1,
					Funding: $1 of $5,000 (,0% funded,),
					Campaign Dates: July 3rd -> August 2nd (2020),
					Closed: Sunday August 2nd, 2020,
				",Cancelled
0,comics|graphic novels,$,A Samurai Horror Graphic Novel,7500,comics,Death Kanji,0,"
					Backers: 0,
					Funding: $0 of $7,500 (,0% funded,),
					Campaign Dates: July 3rd -> August 2nd (2020),
					Closed: Sunday August 2nd, 2020,
				",Cancelled
35,games|tabletop games,$,"A fun, family-friendly guessing game that is highly entertaining and educational.",35000,games,BOOKSMART from Stampede Ventures Games,1472,"
					Backers: 35,
					Funding: $1,472 of $35,000 (,4% funded,),
					Campaign Dates: June 18th -> August 2nd (2020),
					Closed: Sunday August 2nd, 2020,
				",Cancelled
4,design|product design,$,A one of a kind cup holder designed to be used in military vehicles that include a magnetic power bank and magnetic Bluetooth speaker.,50000,design,"ConvoyKoozie: The combat cup holder, power bank, and speaker",173,"
					Backers: 4,
					Funding: $173 of $50,000 (,0% funded,),
					Campaign Dates: July 8th -> August 2nd (2020),
					Closed: Sunday August 2nd, 2020,
				",Cancelled
48,design|product design,$,"A rake, a pitchfork and a shovel all in one. Designed with the latest “anatomical parameterization” for digging up to 5 times faster",10000,design,"Rongo - Yard Work, Evolved",3985,"
					Backers: 48,
					Funding: $3,985 of $10,000 (,39% funded,),
					Campaign Dates: July 3rd -> August 2nd (2020),
					Closed: Sunday August 2nd, 2020,
				",Cancelled
13,crafts|diy,$,An activity-based subscription box!,4000,crafts,The Idle Free Box,935,"
					Backers: 13,
					Funding: $935 of $4,000 (,23% funded,),
					Campaign Dates: July 3rd -> August 2nd (2020),
					Closed: Sunday August 2nd, 2020,
				",Cancelled
1,publishing|poetry,£,"A collection of short poems to share some positivity, inspiration and love of poetry.",650,publishing,The Book of Poetry,1,"
					Backers: 1,
					Funding: £1 of £650 (,0% funded,),
					Campaign Dates: July 3rd -> August 2nd (2020),
					Closed: Sunday August 2nd, 2020,
				",Cancelled
0,,$,I want create an amazing album that speaks to the heart and truly moves people!,4000,music,My debut album journey.,0,"
					Backers: 0,
					Funding: $0 of $4,000 (,0% funded,),
					Campaign Dates: July 3rd -> August 2nd (2020),
					Closed: Sunday August 2nd, 2020,
				",Cancelled
1,games|video games,€,Notre but est d'apporter une aide complète aux joueurs de Dofus. Pour cela plusieurs frais (dont l'hébergement du site) sont à prévoir.,100,games,Développement et hébergement de l'application DofusPlanet,1,"
					Backers: 1,
					Funding: €1 of €100 (,1% funded,),
					Campaign Dates: July 3rd -> August 2nd (2020),
					Closed: Sunday August 2nd, 2020,
				",Cancelled
2,games|tabletop games,€,des figurine pour approche la sculpture rapidement,400,games,figurine d'apprentissage de sculpture,2,"
					Backers: 2,
					Funding: €2 of €400 (,0% funded,),
					Campaign Dates: June 13th -> August 2nd (2020),
					Closed: Sunday August 2nd, 2020,
				",Cancelled
4,games|mobile games,$,A mobile Egyptian themed survival game.,75000,games,Giza's Empire : Survival,1058,"
					Backers: 4,
					Funding: $1,058 of $75,000 (,1% funded,),
					Campaign Dates: July 3rd -> August 2nd (2020),
					Closed: Sunday August 2nd, 2020,
				",Cancelled
6,,$,A set of girls symbolising our favourite anime tropes & dere types!,600,art,Dere Girls: A Collection of Anime Trope Girls,106,"
					Backers: 6,
					Funding: $106 of $600 (,17% funded,),
					Campaign Dates: July 9th -> August 1st (2020),
					Closed: Saturday August 1st, 2020,
				",Cancelled
1,technology|apps,$,I'm making an app that starts conversations and helps people share common interests.,30000,technology,Ember: A conversation Starter,1,"
					Backers: 1,
					Funding: $1 of $30,000 (,0% funded,),
					Campaign Dates: June 4th -> August 3rd (2020),
					Closed: Monday August 3rd, 2020,
				",Cancelled
6,fashion|apparel,$,Susainable. Renewable. Fashionable.,15000,fashion,"D'vine Intervention: Modern, Hemp Clothing",488,"
					Backers: 6,
					Funding: $488 of $15,000 (,3% funded,),
					Campaign Dates: July 4th -> August 3rd (2020),
					Closed: Monday August 3rd, 2020,
				",Cancelled
26,technology|wearables,$,Bone-conduction prescription glasses.,3000,technology,"BEBRATO : Earbuds and Eyeglasses, your lifelong companions",13783,"
					Backers: 26,
					Funding: $13,783 of $3,000 (,459% funded,),
					Campaign Dates: July 1st -> August 3rd (2020),
					Closed: Monday August 3rd, 2020,
				",Cancelled
1,,€,A thriller film.,175000,film & video,Reverse,1,"
					Backers: 1,
					Funding: €1 of €175,000 (,0% funded,),
					Campaign Dates: June 26th -> August 3rd (2020),
					Closed: Monday August 3rd, 2020,
				",Cancelled
2,games|video games,€,WarChess STR : Jeu d'Echec modifié avec mode temps réel.,900,games,WarChess,3,"
					Backers: 2,
					Funding: €3 of €900 (,0% funded,),
					Campaign Dates: June 4th -> August 3rd (2020),
					Closed: Monday August 3rd, 2020,
				",Cancelled
2,technology|web,£,Quality Irish Food Export Focusing On the Australian and US market,75000,technology,E-Commerce Website & App Specialising in Irish Food Export,51,"
					Backers: 2,
					Funding: £51 of £75,000 (,0% funded,),
					Campaign Dates: July 4th -> August 3rd (2020),
					Closed: Monday August 3rd, 2020,
				",Cancelled
28,technology|apps,$,"A social media platform to connect people, encourage innovation, all while improving the environment in one does so.",12000,technology,"Circle: Connect, Conquer, Giveback.",1911,"
					Backers: 28,
					Funding: $1,911 of $12,000 (,15% funded,),
					Campaign Dates: June 19th -> August 3rd (2020),
					Closed: Monday August 3rd, 2020,
				",Cancelled
1,technology|gadgets,€,Une paire de lunette bluetooth : contrôler la musique et répondre aux appels d'une simple double pression.,46000,technology,"Les lunettes connectées, nouvels accessoires de mode",1,"
					Backers: 1,
					Funding: €1 of €46,000 (,0% funded,),
					Campaign Dates: June 4th -> August 3rd (2020),
					Closed: Monday August 3rd, 2020,
				",Cancelled
1,publishing|children's books,€,eg.  A is for... Alligator,5300,publishing,Alphabet stories,1,"
					Backers: 1,
					Funding: €1 of €5,300 (,0% funded,),
					Campaign Dates: June 4th -> August 3rd (2020),
					Closed: Monday August 3rd, 2020,
				",Cancelled
3,games|tabletop games,€,"Un jeu d'alcool mélangeant Capsule et Aimant. 
A game of alcohol mixing Capsule and Magnet",5000,games,CapsAndMagnet,52,"
					Backers: 3,
					Funding: €52 of €5,000 (,1% funded,),
					Campaign Dates: July 4th -> August 3rd (2020),
					Closed: Monday August 3rd, 2020,
				",Cancelled
1,film & video|drama,£,Welcome to the Lotty’s Kickstarter page. Thank you for visiting. We’ve launched this crowdfunding campaign to raise money to enter our,250,film & video,Lotty,1,"
					Backers: 1,
					Funding: £1 of £250 (,0% funded,),
					Campaign Dates: June 25th -> August 3rd (2020),
					Closed: Monday August 3rd, 2020,
				",Cancelled
1,publishing|fiction,€,"Raccolta fondi per l'editing del romanzo ""Le parole che ho detto solo a te"" in uscita nel 2021",7500,publishing,Le parole che ho detto solo a te | Romanzo,1,"
					Backers: 1,
					Funding: €1 of €7,500 (,0% funded,),
					Campaign Dates: June 4th -> August 3rd (2020),
					Closed: Monday August 3rd, 2020,
				",Cancelled
1,journalism|video,€,Un documentario alla scoperta del Giappone.,20000,journalism,Giappone in Pillole - alla scoperta del Giappone,1,"
					Backers: 1,
					Funding: €1 of €20,000 (,0% funded,),
					Campaign Dates: June 4th -> August 3rd (2020),
					Closed: Monday August 3rd, 2020,
				",Cancelled
24,comics|graphic novels,$,"Manga Comic Book called ""Rain""",20000,comics,"""Rain"" book 1 (Manga)",763,"
					Backers: 24,
					Funding: $763 of $20,000 (,3% funded,),
					Campaign Dates: June 4th -> August 3rd (2020),
					Closed: Monday August 3rd, 2020,
				",Cancelled
1,film & video|drama,$,A short film about two strangers of two different races falling in love with each other in 2020 during the racial protests.,5000,film & video,Picking Up The Pieces,1,"
					Backers: 1,
					Funding: $1 of $5,000 (,0% funded,),
					Campaign Dates: June 24th -> August 3rd (2020),
					Closed: Monday August 3rd, 2020,
				",Cancelled
1,publishing|radio & podcasts,,Casi Humanos. Un podcast que pretende dar herramientas para mejorar la inteligencia emocional e inteligencia espiritual de las personas,,publishing,Casi Humanos,,"
					Backers: 1,
					Funding: MX$19 of MX$11,200 (,0% funded,),
					Campaign Dates: June 6th -> August 5th (2020),
					Closed: Wednesday August 5th, 2020,
				",Cancelled
4,fashion|accessories,$,Select your State from the 2020 “100% Essential Worker” Pin Collection,5000,fashion,The State 2020 “100% Essential Worker” Pin Collection,85,"
					Backers: 4,
					Funding: $85 of $5,000 (,1% funded,),
					Campaign Dates: July 6th -> August 5th (2020),
					Closed: Wednesday August 5th, 2020,
				",Cancelled
13,,$,"We challenge the LCK franchise.
Our team is run by fans with membership.
They decide to recruit players, entry, and even draft phase.",10000000,games,Become a League of Legends team manager in the LCK League!,22498,"
					Backers: 13,
					Funding: $22,498 of $10,000,000 (,0% funded,),
					Campaign Dates: June 26th -> August 5th (2020),
					Closed: Wednesday August 5th, 2020,
				",Cancelled
0,,£,Effie is a new domestic appliance that irons your clothes for you. Just hang your clothes up straight from the washing machine...,100000,technology,Effie: Never Iron Again,0,"
					Backers: 0,
					Funding: £0 of £100,000 (,0% funded,),
					Campaign Dates: July 1st -> August 5th (2020),
					Closed: Wednesday August 5th, 2020,
				",Cancelled
101,,$,"A second wave of exciting characters is in the works for our successful Comic Adventure Heroes line of 4"" action figures!",60000,art,Comic Adventure Heroes Wave 2!,14285,"
					Backers: 101,
					Funding: $14,285 of $60,000 (,23% funded,),
					Campaign Dates: July 6th -> August 5th (2020),
					Closed: Wednesday August 5th, 2020,
				",Cancelled
3,film & video|television,$,Avonlea will be a series based upon the second book in the Anne of Green Gables series by L.M. Montgomery.,5000000,film & video,Avonlea,16,"
					Backers: 3,
					Funding: $16 of $5,000,000 (,0% funded,),
					Campaign Dates: June 6th -> August 5th (2020),
					Closed: Wednesday August 5th, 2020,
				",Cancelled
1,film & video|webseries,$,A 10-episode web series about a teenage former drug addict returns home from rehab and her parents are hiding a life-altering secret.,5000,film & video,Family's Secrets: 90210,1,"
					Backers: 1,
					Funding: $1 of $5,000 (,0% funded,),
					Campaign Dates: July 6th -> August 5th (2020),
					Closed: Wednesday August 5th, 2020,
				",Cancelled
1,theater|plays,£,"A fun and exciting time for the whole family! The tale of Rumpelstiltskin told with comedy, original songs and heaps of panto spirit!",3000,theater,Cattle Productions present 'Rumpelstiltskin: The Pantomime',1,"
					Backers: 1,
					Funding: £1 of £3,000 (,0% funded,),
					Campaign Dates: June 6th -> August 5th (2020),
					Closed: Wednesday August 5th, 2020,
				",Cancelled
1,art|digital art,€,"Ich würde gerne eine eigene Marke kreieren - #nadinebalsiesarts# & einen Verkauf meiner Produkte starten (Bilder, Poster & Merchandise)",2000,art,nadinebalsiesarts,1,"
					Backers: 1,
					Funding: €1 of €2,000 (,0% funded,),
					Campaign Dates: June 6th -> August 5th (2020),
					Closed: Wednesday August 5th, 2020,
				",Cancelled
9,games|video games,€,a tactical game inspired by the events that took place after the Fall of the Roman Empire (4th-5th century AD).,2000,games,IMPETUS,81,"
					Backers: 9,
					Funding: €81 of €2,000 (,4% funded,),
					Campaign Dates: June 5th -> August 4th (2020),
					Closed: Tuesday August 4th, 2020,
				",Cancelled
1,publishing|nonfiction,$,John is the founder of the HuntingForThompson.com writers blog had has penned an unique book which will launch in Aug/Sept of 2020.,14900,publishing,"""Red, White, and the Blues"": Limited First Edition Hardcover",1,"
					Backers: 1,
					Funding: $1 of $14,900 (,0% funded,),
					Campaign Dates: June 5th -> August 4th (2020),
					Closed: Tuesday August 4th, 2020,
				",Cancelled
1,food|restaurants,,A restaurant with a lot of culture and with the best traditional Mexican dishes,,food,The taste of my region,,"
					Backers: 1,
					Funding: MX$19 of MX$500,000 (,0% funded,),
					Campaign Dates: June 25th -> August 4th (2020),
					Closed: Tuesday August 4th, 2020,
				",Cancelled
1,,$,"Located in New Orleans, a story about a boy named Bay Oliver and his friends that join a tournament to avenge his father.",20000,comics,Crescent City,1,"
					Backers: 1,
					Funding: $1 of $20,000 (,0% funded,),
					Campaign Dates: July 5th -> August 4th (2020),
					Closed: Tuesday August 4th, 2020,
				",Cancelled
1,design|product design,$,shred documents very fast and very secure  with water,200000,design,A new way to shred documents fast and easy,1,"
					Backers: 1,
					Funding: $1 of $200,000 (,0% funded,),
					Campaign Dates: June 5th -> August 4th (2020),
					Closed: Tuesday August 4th, 2020,
				",Cancelled
1,film & video|shorts,€,Come nasce una squadra di calcio femminile,39300,film & video,Le Ragazze Giallorosse,1,"
					Backers: 1,
					Funding: €1 of €39,300 (,0% funded,),
					Campaign Dates: June 5th -> August 4th (2020),
					Closed: Tuesday August 4th, 2020,
				",Cancelled
19,,$,An educational video game that levels up your skills in keeping your environment safe from coronavirus.,50000,games,Clean Streak,5416,"
					Backers: 19,
					Funding: $5,416 of $50,000 (,10% funded,),
					Campaign Dates: July 8th -> August 7th (2020),
					Closed: Friday August 7th, 2020,
				",Cancelled
6,games|tabletop games,£,The board game in which you battle for real life's holy grail - a parking space.,12500,games,Parking Debacle,610,"
					Backers: 6,
					Funding: £610 of £12,500 (,4% funded,),
					Campaign Dates: June 8th -> August 7th (2020),
					Closed: Friday August 7th, 2020,
				",Cancelled
319,games|tabletop games,£,"A two player volleyball inspired card game, featuring sexy volleyball girls. Choose your team, collect your cards and battle.",10000,games,Bouncy Beach Volleyball Card Game,21586,"
					Backers: 319,
					Funding: £21,586 of £10,000 (,215% funded,),
					Campaign Dates: July 6th -> August 7th (2020),
					Closed: Friday August 7th, 2020,
				",Cancelled
6,design|product design,$,Quirky & fun backpacks for your pets (100% head-turner!). Join us to raise awareness and help fight mental health issues amongst pets.,4124,design,Aylabella Co. Harness Backpack for Dogs,248,"
					Backers: 6,
					Funding: $248 of $4,124 (,6% funded,),
					Campaign Dates: July 3rd -> August 7th (2020),
					Closed: Friday August 7th, 2020,
				",Cancelled
3,,,A book about dimension mapping and meetings with clockwork elves in San Francisco,,publishing,Clockwork Elves and DMT mapping,,"
					Backers: 3,
					Funding: kr289 of kr16,700 (,1% funded,),
					Campaign Dates: July 8th -> August 7th (2020),
					Closed: Friday August 7th, 2020,
				",Cancelled
31,games|tabletop games,$,"Who are the Legends? is a fast-paced, competitive, educational card game not just for kids but for all ages.",4000,games,Who are the legends,1385,"
					Backers: 31,
					Funding: $1,385 of $4,000 (,34% funded,),
					Campaign Dates: July 8th -> August 7th (2020),
					Closed: Friday August 7th, 2020,
				",Cancelled
5,design|product design,$,Just insert your favorite scent & enjoy a great atmosphere while you're sipping your favorite drink,3400,design,Magnetic Scented Wooden Coasters Set,284,"
					Backers: 5,
					Funding: $284 of $3,400 (,8% funded,),
					Campaign Dates: July 8th -> August 7th (2020),
					Closed: Friday August 7th, 2020,
				",Cancelled
0,games|tabletop games,$,A Quick Dueling Fantasy Card Game,8000,games,The King's Tournament Card Game,0,"
					Backers: 0,
					Funding: $0 of $8,000 (,0% funded,),
					Campaign Dates: June 18th -> August 6th (2020),
					Closed: Thursday August 6th, 2020,
				",Cancelled
8,design|product design,£,"A fine china mugs and coasters decorated in ""digital style"".",10000,design,"mugs and coaster ""Digital life""",212,"
					Backers: 8,
					Funding: £212 of £10,000 (,2% funded,),
					Campaign Dates: July 7th -> August 6th (2020),
					Closed: Thursday August 6th, 2020,
				",Cancelled
23,comics|comic books,$,The Chroniclers' Saga is a comic book series set in the world of Aoden.,5000,comics,The Chroniclers' Saga,862,"
					Backers: 23,
					Funding: $862 of $5,000 (,17% funded,),
					Campaign Dates: July 7th -> August 6th (2020),
					Closed: Thursday August 6th, 2020,
				",Cancelled
10,comics|graphic novels,$,Double-Crossed is about a Nebraska family in the 1880's seeking revenge and justice.,15000,comics,A Brother's Country #1: A Graphic Novel by David Parsons,571,"
					Backers: 10,
					Funding: $571 of $15,000 (,3% funded,),
					Campaign Dates: July 7th -> August 6th (2020),
					Closed: Thursday August 6th, 2020,
				",Cancelled
1,design|product design,$,"LED/SOLAR POWERED, FULLY INTERCHANGEABLE (Multi Licenses Pending), ALWAYS Waves, NEVER Sags, and REALLY LIGHTS up the NIGHT!",10000,design,The FLAG of the 21st Century- The NITE FLITE FLAG LITE,1,"
					Backers: 1,
					Funding: $1 of $10,000 (,0% funded,),
					Campaign Dates: July 7th -> August 6th (2020),
					Closed: Thursday August 6th, 2020,
				",Cancelled
4,design|product design,€,A special hand tool as a kind of key ring made of Brass. The Hands-Free™ is ideal for use in all areas of daily life! Everyday Carry,6985,design,"Hands-Free™ Hygiene Hand EDC Door Opener, Closer & much more",62,"
					Backers: 4,
					Funding: €62 of €6,985 (,0% funded,),
					Campaign Dates: July 7th -> August 6th (2020),
					Closed: Thursday August 6th, 2020,
				",Cancelled
18,technology|gadgets,$,"A Beautiful Automatic, Touch Free, Adjustable Liquid Soap Dispenser Made For A Contactless World.",30000,technology,The Handsfree Soap Dispenser by Vodace,3740,"
					Backers: 18,
					Funding: $3,740 of $30,000 (,12% funded,),
					Campaign Dates: July 14th -> August 6th (2020),
					Closed: Thursday August 6th, 2020,
				",Cancelled
7,design|product design,$,"""Laze"" It's the lazy bowl you need.",500,design,Laze: The bowl that was made for the lazy person in us.,92,"
					Backers: 7,
					Funding: $92 of $500 (,18% funded,),
					Campaign Dates: July 7th -> August 6th (2020),
					Closed: Thursday August 6th, 2020,
				",Cancelled
10,art|painting,€,Artistic interactions between men and robots,10000,art,Proximars Launch,1414,"
					Backers: 10,
					Funding: €1,414 of €10,000 (,14% funded,),
					Campaign Dates: June 10th -> August 9th (2020),
					Closed: Sunday August 9th, 2020,
				",Cancelled
4,food|farms,$,A Raw  food Box for dogs and cats who Thrive On raw balanced meals ! Each meal is custom made for your dog or cats specific needs!,6000,food,Fur-Ever Raw,341,"
					Backers: 4,
					Funding: $341 of $6,000 (,5% funded,),
					Campaign Dates: July 9th -> August 9th (2020),
					Closed: Sunday August 9th, 2020,
				",Cancelled
2,fashion|accessories,€,"I want to introduce you to an unusual collection of jewelry, which created jewelry from radio components",600,fashion,Jewelry from radio components,45,"
					Backers: 2,
					Funding: €45 of €600 (,7% funded,),
					Campaign Dates: July 10th -> August 9th (2020),
					Closed: Sunday August 9th, 2020,
				",Cancelled
10,technology|apps,$,"A mobile application that helps patients, families and caretakers better manage their prescribed healthcare regimen and much more.",3141456,technology,Project Ouium,1950,"
					Backers: 10,
					Funding: $1,950 of $3,141,456 (,0% funded,),
					Campaign Dates: July 10th -> August 9th (2020),
					Closed: Sunday August 9th, 2020,
				",Cancelled
3,,$,Fine Silver Rounds of Various Sizes,12000,crafts,Precious Metals Mint Start-Up,123,"
					Backers: 3,
					Funding: $123 of $12,000 (,1% funded,),
					Campaign Dates: July 9th -> August 8th (2020),
					Closed: Saturday August 8th, 2020,
				",Cancelled
0,film & video|animation,$,An anime based in New Orleans about a boy who enters a fighting event held by mother nature to avenge his father.,10000000,film & video,Crescent City (anime),0,"
					Backers: 0,
					Funding: $0 of $10,000,000 (,0% funded,),
					Campaign Dates: July 9th -> August 8th (2020),
					Closed: Saturday August 8th, 2020,
				",Cancelled
0,,$,A 290-page crowdfunded business book for the new and current digital leaders inspired by 19th Century Carl Von Clausewitz!,14000,publishing,Leading Disruption - Naully Nicolas,0,"
					Backers: 0,
					Funding: $0 of $14,000 (,0% funded,),
					Campaign Dates: July 9th -> August 8th (2020),
					Closed: Saturday August 8th, 2020,
				",Cancelled
4,games|playing cards,$,"'Magnetar' will teach one about the nature of stars, it is based on the Hertzsprung–Russell diagram.",10000,games,Magnetar - The Greatest Card Game in the Universe.,103,"
					Backers: 4,
					Funding: $103 of $10,000 (,1% funded,),
					Campaign Dates: June 30th -> August 8th (2020),
					Closed: Saturday August 8th, 2020,
				",Cancelled
18,design|product design,$,Enamel pins of the eevolutions of our favorite pocket monsters enjoying boba tea!,400,design,Eevolution Bobamon Enamel Pins,359,"
					Backers: 18,
					Funding: $359 of $400 (,89% funded,),
					Campaign Dates: June 24th -> August 8th (2020),
					Closed: Saturday August 8th, 2020,
				",Cancelled
9,games|tabletop games,€,Miniatures for a Fantasy Football Board Game,1000,games,The Black Cross Worshippers -Human FF team in Resin or Metal,485,"
					Backers: 9,
					Funding: €485 of €1,000 (,48% funded,),
					Campaign Dates: June 29th -> August 8th (2020),
					Closed: Saturday August 8th, 2020,
				",Cancelled
32,comics|comic books,$,"Life, Love & Pain of a Hip Hop artist and Fitness trainer in L.A. by Kawanna Lewis & Fabrice Sapolsky",7500,comics,BORN A BADA$$ -- THE ORACLE JAYNE DOE STORY,1873,"
					Backers: 32,
					Funding: $1,873 of $7,500 (,24% funded,),
					Campaign Dates: July 9th -> August 8th (2020),
					Closed: Saturday August 8th, 2020,
				",Cancelled
8,,$,"The first mobile application to help our First Responders, Nurses, & Military support one another collectively on a safe and platform.",28500,technology,SilentHero,171,"
					Backers: 8,
					Funding: $171 of $28,500 (,0% funded,),
					Campaign Dates: June 9th -> August 8th (2020),
					Closed: Saturday August 8th, 2020,
				",Cancelled
3,publishing|radio & podcasts,$,A role playing podcast dedicated to creating fun and interesting experiences that listeners can get immersed in.,400,publishing,The Dragon's Tavern,151,"
					Backers: 3,
					Funding: $151 of $400 (,37% funded,),
					Campaign Dates: June 9th -> August 8th (2020),
					Closed: Saturday August 8th, 2020,
				",Cancelled
77,games|tabletop games,$,"Build an impressive fiefdom in the era of Catherine the Great!
A game of hidden bidding, tableau building  and simultaneous actions.",13500,games,Feudal Endeavor,3722,"
					Backers: 77,
					Funding: $3,722 of $13,500 (,27% funded,),
					Campaign Dates: July 7th -> August 7th (2020),
					Closed: Friday August 7th, 2020,
				",Cancelled
15,games|tabletop games,,Baraja de póker con castigos y retos para fiestas +18,,games,Shots Card Game,,"
					Backers: 15,
					Funding: MX$5,579 of MX$30,000 (,18% funded,),
					Campaign Dates: July 8th -> August 7th (2020),
					Closed: Friday August 7th, 2020,
				",Cancelled
40,fashion|jewelry,$,"Wedding bands that are stronger than silicone, more flexible than metal, and offer maximum airflow.",15000,fashion,RUNE: The Most Versatile Wedding Band Ever Made,3314,"
					Backers: 40,
					Funding: $3,314 of $15,000 (,22% funded,),
					Campaign Dates: July 14th -> August 13th (2020),
					Closed: Thursday August 13th, 2020,
				",Cancelled
82,games|tabletop games,$,A hidden movement tabletop game where a Werewolf must survive the night while being hunted by a group of angry villagers.,24800,games,The Werewolf of Rivers End,4617,"
					Backers: 82,
					Funding: $4,617 of $24,800 (,18% funded,),
					Campaign Dates: July 15th -> August 12th (2020),
					Closed: Wednesday August 12th, 2020,
				",Cancelled
1,technology|apps,$,QuOffensive is an application that will make an offensive stance against telemarketing fraud.  Time to fight back!,138000,technology,QuOffensive: Combatting telemarketing fraud realtime.,1,"
					Backers: 1,
					Funding: $1 of $138,000 (,0% funded,),
					Campaign Dates: June 13th -> August 12th (2020),
					Closed: Wednesday August 12th, 2020,
				",Cancelled
1,publishing|art books,$,The Concept of Style & Form of Mid-Century Modern,6500,publishing,Modern Retro,1,"
					Backers: 1,
					Funding: $1 of $6,500 (,0% funded,),
					Campaign Dates: June 22nd -> August 11th (2020),
					Closed: Tuesday August 11th, 2020,
				",Cancelled
10,food|restaurants,£,Help me make Londoners taste the real OG’ Roman style pizza!,57000,food,OG' Slice Pizza,519,"
					Backers: 10,
					Funding: £519 of £57,000 (,0% funded,),
					Campaign Dates: July 11th -> August 11th (2020),
					Closed: Tuesday August 11th, 2020,
				",Cancelled
6,music|pop,£,An independent solo artist looking for help releasing his upcoming EP created during lockdown.,2500,music,Novaborn - Bedroom Popstar EP,296,"
					Backers: 6,
					Funding: £296 of £2,500 (,11% funded,),
					Campaign Dates: July 12th -> August 11th (2020),
					Closed: Tuesday August 11th, 2020,
				",Cancelled
33,technology|gadgets,,"The research-based and feature-packed cat toy that promotes bonding, health, and happiness.",,technology,TrickyPaw — A Cat's Smart Companion,,"
					Backers: 33,
					Funding: HK$14,375 of HK$77,500 (,18% funded,),
					Campaign Dates: July 7th -> August 11th (2020),
					Closed: Tuesday August 11th, 2020,
				",Cancelled
2,,$,Uber for Help,500000,technology,Build self policing and self help communities - App,11,"
					Backers: 2,
					Funding: $11 of $500,000 (,0% funded,),
					Campaign Dates: June 11th -> August 10th (2020),
					Closed: Monday August 10th, 2020,
				",Cancelled
2,technology|apps,$,"Forgotten, lied to and controlled for too long by mainstream media. This ends now. Swaggit wants to help you take the power back.",35900,technology,Swaggit: Social network for the real you,6,"
					Backers: 2,
					Funding: $6 of $35,900 (,0% funded,),
					Campaign Dates: June 11th -> August 10th (2020),
					Closed: Monday August 10th, 2020,
				",Cancelled
74,games|tabletop games,€,It's St. Lawrence's night: will you be able to realize your wishes by capturing the shooting stars before your friends do?,10000,games,COMETE,1488,"
					Backers: 74,
					Funding: €1,488 of €10,000 (,14% funded,),
					Campaign Dates: July 11th -> August 10th (2020),
					Closed: Monday August 10th, 2020,
				",Cancelled
2,fashion|jewelry,¥,"From the birthplace of cultured pearls,Ise Shima Japan.
We wish to share the beauty of pearls one by one to the world.",200000,fashion,The beautiful Japanese pearls straight from the source,4109,"
					Backers: 2,
					Funding: ¥4,109 of ¥200,000 (,2% funded,),
					Campaign Dates: June 11th -> August 10th (2020),
					Closed: Monday August 10th, 2020,
				",Cancelled
1,games|video games,$,A new Universe and Story called.... SOLORION. Escapism awaits.,350000,games,SolOrion The Universe,1,"
					Backers: 1,
					Funding: $1 of $350,000 (,0% funded,),
					Campaign Dates: June 10th -> August 9th (2020),
					Closed: Sunday August 9th, 2020,
				",Cancelled
8,food|restaurants,$,"We are creating a fun experience that brings you back to 1985, 1955, 2015 or even 1885! See our nostalgia and try our tasty pizza!!!!",5000,food,Clock Tower Pizza - a Back To The Future Themed Restaurant,971,"
					Backers: 8,
					Funding: $971 of $5,000 (,19% funded,),
					Campaign Dates: June 10th -> August 9th (2020),
					Closed: Sunday August 9th, 2020,
				",Cancelled
5,,$,An enamel pin of Rainbow Brite with a twist.,200,art,Rainbow Brite Enamel Pin,57,"
					Backers: 5,
					Funding: $57 of $200 (,28% funded,),
					Campaign Dates: July 10th -> August 9th (2020),
					Closed: Sunday August 9th, 2020,
				",Cancelled
3,technology|apps,$,"An app that simplifies your unorganised, clutters, and overwhelming lego sets & parts",10000,technology,legoid,11,"
					Backers: 3,
					Funding: $11 of $10,000 (,0% funded,),
					Campaign Dates: June 10th -> August 9th (2020),
					Closed: Sunday August 9th, 2020,
				",Cancelled
13,technology|wearables,,DrowseBuster-P is the world’s first pulse massager sport earbuds. Helping you boost overall health by using integrated pulse massager.,,technology,DrowseBuster-P : The World’s First Pulse Massager Earbuds,,"
					Backers: 13,
					Funding: HK$5,441 of HK$77,498 (,7% funded,),
					Campaign Dates: July 2nd -> August 16th (2020),
					Closed: Sunday August 16th, 2020,
				",Cancelled
